Feature ID	kingdom	phylum	class	order	family	genus	species	Confidence
e4bcd20961fa30e94f9e2e93162a8df2	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium		0.982144144742
479755d9515fad09b65d1baff07ff321	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	coleohominis	0.999986586423
7f59aa390d23862a249ab2fb1915fb11	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	symbiosum	0.994955236293
b84f176c4a0413c7bb4922c670b8b212	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.999808268512
c627e5714a549d8da5bf84ca2f4a9a7b	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.978823159437
556d426e2c989484714db6c03f105008	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		0.999999961195
eac087d6cad85e3410d3496b7304f3fb	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister		0.999999999999
2abc883f78211347e1111112729472f7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	0.999757809135
b60f8fc17ca22ec0dd71f3d26f0bc031	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	hathewayi	0.999886134883
5de82305f65a04338abb7ebc10084e49	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella		0.729897746613
ca4178c31f052c5305c57357b471c761	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.999974916946
7b63a5f24daa0d8c44d86dca478f99c5	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		0.928580948337
78d19a987fc61b47ba46389e9559c896	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus		0.859765331132
8fc111c2fff92becc63b1f00705168f0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus		0.976201173824
1213266b7ad35df86a7e22dc942acc13	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.999939717967
cb23b9976ad7c9edb97cff10c7c5f0c2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.728079890562
c531bdf8d9838628fddf4b0e5b613829	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	boydii	0.866831595371
09a82f97a33b7a00cc5519eb3f59a5e2	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera		0.999999999565
3b3e169a83ee7944675a37f253a40006	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter_Eubacterium		0.999999910697
a7275e2095a8271d51a0987b9a300d22	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		0.999999309147
a5df287ad2afccf889cd6312a5820cb0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.998480560482
de4c66abc74a35d9a6c46255375e00f9	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.9821917541
c42fa99d7c5497719b3df079fdaa065e	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium		0.999996644338
3c915a6148f20c807ddfeb8b35e5c651	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira		0.781501965738
4e5cbc16cd4ae842a903ee53e27e2fea	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter		0.905022140597
3b0f4c623a2b940b220d0213fe278dbf	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	perfringens	0.999970740699
95701954a802e739d70fd236601116d9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter		0.867499511969
0fc7d551f598630c09f3a0e9cd1642ae	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	pullicaecorum	0.906687680476
af3f59462fc3748bbe5ca09249eb809a	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megamonas		0.999999974376
c07cbe127ccd2184a398c4a2376ac584	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.999986076044
a75103c858ceccce85354c26eea344c0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	coleohominis	0.999984817756
56fe4e4e47206e5d403bdf3590bd2416	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera		0.999748121535
9b2ca0f45dd26372ec2a63a995722ef4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	0.999851364847
a11c489f76cf8e38cd7392a92a9f5bb9	Bacteria	Firmicutes	Clostridia	Clostridiales				0.947312143832
